kepoi_name,koi_disposition,koi_period,koi_duration,koi_prad,koi_teq,koi_insol,koi_depth,koi_impact,koi_model_snr
K00883.01,CANDIDATE,2.688899233,2.11275,12.04,929.0,175.76,37491.6,0.001,1011.6
K00884.01,CONFIRMED,9.439459486,2.8979,4.16,686.0,52.32,3036.1,0.049,175.2
K00122.01,CONFIRMED,11.523067458,3.8757,3.13,927.0,174.81,507.3,0.0,142.0
K00884.02,CONFIRMED,20.47748843,2.8364,2.92,530.0,18.65,1382.4,0.497,52.7
K00884.03,CONFIRMED,3.336123113,1.9616,1.74,970.0,209.79,516.3,0.252,41.6
K00886.01,CONFIRMED,8.01078456,2.312,1.72,453.0,9.9,1333.6,0.192,48.5
K00886.02,CONFIRMED,12.07134205,4.3224,1.29,395.0,5.74,759.2,0.014,31.0
K00886.03,CONFIRMED,20.99587872,2.6333,1.3,328.0,2.74,767.3,0.228,18.2
K00887.01,CONFIRMED,7.41113177,2.5242,2.45,905.0,158.11,620.5,0.712,50.4
K00888.01,FALSE POSITIVE,1.000747038,0.9967,4.14,1620.0,1635.2,1823.5,0.908,147.4
K00889.01,CONFIRMED,8.884922995,2.07004,10.51,770.0,83.21,16053.4,0.069,388.2
K00890.01,CONFIRMED,8.09888906,4.20241,8.95,986.0,223.19,6911.1,0.018,435.9
K00891.01,CONFIRMED,10.00653012,5.344,3.52,876.0,139.21,936.1,0.862,71.9
K00012.01,CONFIRMED,17.855221681,7.41287,13.16,911.0,163.04,9065.2,0.075,915.7
K00901.01,CANDIDATE,12.732624065,2.2083,4.87,432.0,8.22,6465.7,0.811,210.5
K00902.01,CANDIDATE,83.92494032,6.7904,4.78,226.0,0.62,7958.7,0.658,182.1
K00903.01,CONFIRMED,5.007316661,4.2362,6.96,998.0,234.28,6932.3,0.344,431.4
K00904.01,CONFIRMED,2.211116989,1.6485,1.85,931.0,177.19,724.2,0.69,42.6
K00904.02,CONFIRMED,27.9541337,3.95,1.9,400.0,6.04,942.5,0.063,25.4
K00124.01,CONFIRMED,12.69104387,3.7727,2.57,1008.0,244.3,252.1,0.008,60.2
K00895.01,FALSE POSITIVE,4.409409243,3.8636,10.95,1101.0,347.06,12861.0,0.028,85.8
K00896.01,CONFIRMED,16.23947096,4.0374,4.14,598.0,30.14,2590.7,0.043,123.8
K00896.02,CONFIRMED,6.308201629,2.9785,2.96,819.0,106.44,1328.5,0.03,86.2
K00897.01,CONFIRMED,2.052349884,2.0778,13.12,1497.0,1183.18,14280.6,0.437,1072.1
K00898.01,CONFIRMED,9.7704486,2.4517,2.23,460.0,10.59,1897.8,0.09,58.0
K00898.02,CONFIRMED,5.169804269,2.153,1.66,569.0,24.75,1037.4,0.351,41.4
K00123.02,CONFIRMED,21.22261195,6.5093,2.48,771.0,83.56,366.0,0.02,114.9
K00898.03,CONFIRMED,20.09017037,4.154,2.25,362.0,4.05,1432.1,0.886,36.9
K00899.01,CONFIRMED,7.11373257,2.1764,1.16,429.0,8.01,807.6,0.334,44.4
K00899.02,CONFIRMED,3.306551643,1.8177,0.91,554.0,22.19,509.2,0.001,37.8
